country,deaths_per_million,deaths,cases
Kenya,104,5689,344140
Sudan,102,5046,63993
Equatorial Guinea,101,183,17130
Timor-Leste,100,138,23460
Tuvalu,99,1,2943
Laos,88,671,219060
China [ C ],85,122398,99381761
Nauru,84,1,5393
Guinea-Bissau,84,177,9614
Uganda,76,3632,172222
Somalia,76,1361,27334
Haiti,74,860,34901
Cameroon,71,1974,125320
Mozambique,68,2252,233927
Papua New Guinea,65,670,46864
Republic Of The Congo,64,389,25234
Ethiopia,60,7574,501324
Yemen,56,2159,11945
Liberia,54,294,8090
Angola,54,1937,107487
Madagascar,46,1428,68733
Vanuatu,44,14,12019
Ghana,44,1463,172779
Nicaragua,36,245,16805
Guinea,33,468,38593
Mali,32,743,33199
Togo,31,290,39553
Eritrea,30,103,10189
Uzbekistan,29,1016,175158
Ivory Coast,27,835,88434
Bhutan,26,21,63193
Central African Republic,22,113,15492
Burkina Faso,17,400,22217
Sierra Leone,15,126,7985
Democratic Republic Of The Congo,14,1474,101010
Nigeria,14,3155,267229
South Sudan,13,147,18873
Tanzania,13,846,43606
Niger,12,315,9573
Tajikistan,12,125,17786
Benin,11,163,28036
Chad,10,194,7702
Burundi,1,15,54569
Vatican City,0,0,26
Niue,0,0,1092
Falkland Islands,0,0,1923
"Saint Helena, Ascension And Tristan Da Cunha",0,0,2166
Pitcairn Islands,0,0,4
Tokelau,0,0,80
North Korea,0,0,0
Turkmenistan,0,0,0
